ClaveMunicipal,año,PAN,PRI,PRD
15001,2018,397,383,13
15001,2018,355,467,14
15001,2018,473,579,10
15001,2018,201,426,71
15001,2018,153,254,20
15001,2018,169,271,10
15001,2018,129,186,25
15001,2018,68,107,8
15001,2018,123,172,16
15001,2018,165,228,26
15001,2018,135,200,12
15001,2018,180,239,31
15001,2018,199,327,19
15001,2018,151,486,41
15001,2018,163,283,13
15001,2018,221,339,32
15001,2018,182,315,23
15001,2018,82,190,5
15001,2018,347,350,16
15001,2018,254,393,44
15001,2018,146,275,23
15001,2018,153,324,15
15001,2018,78,310,14
15001,2018,115,402,29
15001,2018,226,205,7
15001,2018,199,533,19
15001,2018,58,241,13
15001,2018,81,260,34
15001,2018,87,209,11
15001,2018,194,253,26
15001,2018,89,292,20
15001,2018,115,435,22
